Name,Year,Team,Salary,Prev_Salary,is_rookie,FA,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
°­ºÀ±Ô,2003,DOOSAN,4000,4500,X,X,1978,25,RF,-0.01,6,0.1,-0.11,15,15,13,3,3,0,0,1,6,3,1,0,2,0,0,2,1,0,0,0.231,0.333,0.462,0.795,0.003,104.9
°­ºÀ±Ô,2002,DOOSAN,4500,2900,X,X,1978,24,RF,0.57,93,0.71,-0.14,182,178,160,30,40,6,1,5,63,25,6,1,16,2,1,43,4,3,1,0.25,0.324,0.394,0.718,-0.02,91.7
°­ºÀ±Ô,2001,DOOSAN,2900,2000,X,X,1978,23,RF,0.07,64,0.09,-0.01,97,96,89,16,21,7,1,2,36,11,2,0,6,1,0,28,1,1,0,0.236,0.292,0.404,0.696,-0.046,71.5
°­»ó¿ø,2021,HANWHA,3250,3000,X,X,1997,24,CF,-0.42,35,-0.18,-0.24,49,47,37,7,4,0,0,0,4,2,3,0,9,1,0,11,0,2,0,0.108,0.298,0.108,0.406,0.037,30.5
°­»ó¿ø,2018,HANWHA,3000,3000,X,X,1997,21,CF,0.12,6,-0.1,0.22,7,7,6,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0.143,0,0.143,-0.084,-60.1
°­»ó¿ø,2017,HANWHA,3000,2700,X,X,1997,20,CF,-0.03,33,-0.08,0.05,14,14,14,8,3,1,0,0,4,1,0,0,0,0,0,5,0,0,0,0.214,0.214,0.286,0.5,0.016,11.8
°­¼®Ãµ,2003,HANWHA,10000,10000,X,O,1967,36,3B,-0.21,8,-0.1,-0.11,19,19,18,0,3,2,0,0,5,3,0,0,1,0,0,5,1,0,0,0.167,0.211,0.278,0.489,-0.1,18.9
°­¼®Ãµ,2002,HANWHA,10000,10000,X,O,1967,35,3B,1.23,94,1.63,-0.4,266,265,242,27,70,11,1,6,101,28,7,3,20,2,0,51,9,1,1,0.289,0.347,0.417,0.764,0.006,113.6
°­¼®Ãµ,2001,HANWHA,10000,10000,X,O,1967,34,3B,-0.46,120,-0.23,-0.23,450,440,407,44,106,18,1,2,132,45,19,9,29,4,1,68,9,9,1,0.26,0.315,0.324,0.639,-0.053,66.6
°­¼º¿ì,2005,SK/SSG,5200,5200,X,X,1970,35,C,0.01,22,0.13,-0.12,20,18,18,1,5,4,0,0,9,0,0,0,0,0,0,4,2,2,0,0.278,0.278,0.5,0.778,0.014,117
°­¼º¿ì,2004,SK/SSG,5200,5200,X,X,1970,34,C,-0.08,30,-0.21,0.13,27,27,25,4,4,1,0,0,5,0,0,0,2,0,0,3,0,0,0,0.16,0.222,0.2,0.422,-0.13,-2
°­¼º¿ì,2003,SK/SSG,5200,5000,X,X,1970,33,C,-0.09,39,-0.02,-0.07,59,57,53,5,14,1,0,0,15,3,0,0,3,1,0,10,3,2,0,0.264,0.316,0.283,0.599,-0.055,58.1
°­¼º¿ì,2002,SK/SSG,5000,5300,X,X,1970,32,C,-0.39,62,-0.51,0.13,100,92,88,2,19,2,0,0,21,8,0,0,2,0,0,10,4,8,2,0.216,0.228,0.239,0.467,-0.116,18.9
°­¼º¿ì,2001,SK/SSG,5300,5300,X,X,1970,31,C,-1.45,110,-1.68,0.23,222,204,188,11,30,7,0,0,37,13,2,0,15,1,0,31,6,18,0,0.16,0.225,0.197,0.422,-0.144,4.8
°­½ÂÈ£,2023,DOOSAN,25500,20000,X,X,1994,29,2B,1.49,127,1.42,0.07,459,455,419,51,111,18,6,7,162,59,13,6,27,6,0,110,12,4,3,0.265,0.316,0.387,0.703,0.11,98.3
°­½ÂÈ£,2022,DOOSAN,20000,11500,X,X,1994,28,2B,2.79,134,2.33,0.47,487,481,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5,0.264,0.31,0.399,0.709,0.109,98
°­½ÂÈ£,2019,SK/SSG,11500,9600,X,X,1994,25,SS,0.11,15,-0.19,0.3,42,41,39,5,6,0,0,2,12,5,0,0,2,0,0,18,1,1,0,0.154,0.195,0.308,0.503,0.028,23.1
°­½ÂÈ£,2018,SK/SSG,9600,6600,X,X,1994,24,SS,-0.15,69,0.19,-0.34,212,206,184,14,47,10,0,3,66,31,1,1,18,3,0,57,2,6,1,0.255,0.33,0.359,0.689,0.104,76.1
°­½ÂÈ£,2017,LG,6600,3500,X,X,1994,23,SS,-0.14,85,-0.36,0.22,268,265,248,42,62,14,2,5,95,31,2,2,7,3,0,67,5,3,7,0.25,0.272,0.383,0.655,0.07,55
°­½ÂÈ£,2016,LG,3500,2700,X,X,1994,22,SS,-0.48,18,-0.25,-0.23,41,41,38,4,7,3,0,0,10,3,0,0,2,0,0,12,0,0,1,0.184,0.22,0.263,0.483,0.009,6.3
