,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
90,김진삼,X,HANWHA,2001,1977.0,24.0,DH,0.04,8.0,0.03,0.01,9.0,9.0,9.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.666,-0.04,76.3,,,
91,김진수,X,LOTTE,2001,1979.0,22.0,C,-0.09,22.0,-0.04,-0.04,21.0,21.0,19.0,3.0,4.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.211,0.286,0.316,0.602,-0.074,49.8,,,
92,김진우,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
93,김진웅,,SAMSUNG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,8000.0,X
94,김창희,X,KIA,2001,1973.0,28.0,CF,0.65,88.0,1.12,-0.47,271.0,268.0,232.0,28.0,65.0,10.0,0.0,5.0,90.0,25.0,3.0,5.0,32.0,3.0,0.0,64.0,7.0,3.0,1.0,0.28,0.373,0.388,0.761,-0.005,107.2,5600.0,4900.0,X
95,김태균,X,HANWHA,2001,1982.0,19.0,3B,3.91,88.0,4.14,-0.23,289.0,287.0,245.0,51.0,82.0,13.0,2.0,20.0,159.0,54.0,2.0,0.0,40.0,4.0,2.0,72.0,4.0,0.0,0.0,0.335,0.436,0.649,1.085,0.098,181.2,4000.0,8000.0,X
96,김태균,X,HANWHA,2001,1982.0,19.0,3B,3.91,88.0,4.14,-0.23,289.0,287.0,245.0,51.0,82.0,13.0,2.0,20.0,159.0,54.0,2.0,0.0,40.0,4.0,2.0,72.0,4.0,0.0,0.0,0.335,0.436,0.649,1.085,0.098,181.2,4000.0,1500.0,X
97,김태균,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,8000.0,X
98,김태균,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,1500.0,X
99,김태균,X,SAMSUNG,2001,1971.0,30.0,SS,-0.29,61.0,-0.53,0.24,136.0,131.0,118.0,14.0,24.0,5.0,0.0,0.0,29.0,8.0,0.0,1.0,11.0,2.0,0.0,30.0,3.0,5.0,0.0,0.203,0.282,0.246,0.528,-0.092,38.8,,,
100,김태룡,X,KIA,2001,1968.0,33.0,2B,-1.17,102.0,-0.59,-0.57,212.0,211.0,192.0,20.0,43.0,10.0,1.0,1.0,58.0,15.0,3.0,3.0,16.0,1.0,0.0,43.0,9.0,1.0,2.0,0.224,0.284,0.302,0.586,-0.125,49.3,4300.0,3200.0,X
